Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,MFE USD,MFE %,MAE USD,MAE %,Cumulative P&L USD,Cumulative P&L %
24,Exit short,2025-12-09 10:32,close short,90412,0.08,7273.28,24.32,0.33,99.52,1.37,-12.48,-0.17,1090.88,1.09
24,Entry short,2025-12-09 02:04,short,90916,0.08,7273.28,24.32,0.33,99.52,1.37,-12.48,-0.17,1090.88,1.09
25,Exit short,2025-12-09 10:32,close short,90412,0.08,7275.52,26.56,0.36,101.76,1.40,-10.24,-0.14,1125.44,1.13
25,Entry short,2025-12-09 02:06,short,90944,0.08,7275.52,26.56,0.36,101.76,1.40,-10.24,-0.14,1125.44,1.13
26,Exit short,2025-12-10 08:50,close short,92596,0.08,7443.52,19.84,0.27,72.64,0.97,-16.02,-0.21,1121.28,1.12
26,Entry short,2025-12-10 00:08,short,93044,0.08,7443.52,19.84,0.27,72.64,0.97,-16.02,-0.21,1121.28,1.12
27,Exit short,2025-12-10 08:50,close short,92596,0.08,7448,24.32,0.33,77.12,1.03,-11.54,-0.15,1153.6,1.15
27,Entry short,2025-12-10 00:10,short,93100,0.08,7448,24.32,0.33,77.12,1.03,-11.54,-0.15,1153.6,1.15
28,Exit short,2025-12-10 08:50,close short,92596,0.08,7443.52,19.84,0.27,72.64,0.97,-16.02,-0.21,1181.44,1.18
28,Entry short,2025-12-10 00:16,short,93044,0.08,7443.52,19.84,0.27,72.64,0.97,-16.02,-0.21,1181.44,1.18
29,Exit short,2025-12-10 08:50,close short,92596,0.08,7441.28,17.6,0.24,70.4,0.95,-18.26,-0.25,1207.04,1.21
29,Entry short,2025-12-10 00:18,short,93016,0.08,7441.28,17.6,0.24,70.4,0.95,-18.26,-0.25,1207.04,1.21
30,Exit short,2025-12-11 10:32,close short,90188,0.08,7394.24,163.2,2.20,227.2,3.07,-8,-0.11,1346.24,1.35
30,Entry short,2025-12-11 02:02,short,92428,0.08,7394.24,163.2,2.20,227.2,3.07,-8,-0.11,1346.24,1.35
31,Exit short,2025-12-11 10:32,close short,90188,0.08,7392,160.96,2.18,224.96,3.04,-8.92,-0.12,1515.2,1.52
31,Entry short,2025-12-11 02:02,short,92400,0.08,7392,160.96,2.18,224.96,3.04,-8.92,-0.12,1515.2,1.52
32,Exit short,2025-12-11 10:32,close short,90188,0.08,7389.76,158.72,2.15,222.72,3.01,-11.16,-0.15,1681.92,1.68
32,Entry short,2025-12-11 02:02,short,92372,0.08,7389.76,158.72,2.15,222.72,3.01,-11.16,-0.15,1681.92,1.68
33,Exit short,2025-12-11 10:32,close short,90188,0.08,7387.52,156.48,2.12,220.48,2.98,-12.48,-0.17,1846.4,1.85
33,Entry short,2025-12-11 02:08,short,92344,0.08,7387.52,156.48,2.12,220.48,2.98,-12.48,-0.17,1846.4,1.85
34,Exit short,2025-12-13 02:26,close short,90328,0.08,7392,149.76,2.02,214.19,2.89,-8,-0.11,1972.16,1.97
34,Entry short,2025-12-12 18:00,short,92400,0.08,7392,149.76,2.02,214.19,2.89,-8,-0.11,1972.16,1.97
35,Exit short,2025-12-13 02:26,close short,90328,0.08,7389.76,147.52,1.99,211.95,2.87,-8,-0.11,2127.68,2.13
35,Entry short,2025-12-12 18:00,short,92372,0.08,7389.76,147.52,1.99,211.95,2.87,-8,-0.11,2127.68,2.13
36,Exit short,2025-12-13 02:26,close short,90328,0.08,7387.52,145.28,1.96,209.71,2.84,-8,-0.11,2280.96,2.28
36,Entry short,2025-12-12 18:02,short,92344,0.08,7387.52,145.28,1.96,209.71,2.84,-8,-0.11,2280.96,2.28
37,Exit short,2025-12-13 02:26,close short,90328,0.08,7385.28,143.04,1.93,207.47,2.81,-8,-0.11,2432,2.43
37,Entry short,2025-12-12 18:02,short,92316,0.08,7385.28,143.04,1.93,207.47,2.81,-8,-0.11,2432,2.43
38,Exit short,2025-12-14 02:54,close short,90272,0.08,7212.8,-24.96,-0.35,18.88,0.26,-16.96,-0.23,2383.04,2.38
38,Entry short,2025-12-13 18:00,short,90160,0.08,7212.8,-24.96,-0.35,18.88,0.26,-16.96,-0.23,2383.04,2.38
39,Exit short,2025-12-14 02:54,close short,90272,0.08,7215.04,-22.72,-0.31,21.12,0.29,-14.72,-0.20,2368.32,2.37
39,Entry short,2025-12-13 18:04,short,90188,0.08,7215.04,-22.72,-0.31,21.12,0.29,-14.72,-0.20,2368.32,2.37
40,Exit short,2025-12-14 02:54,close short,90272,0.08,7217.28,-20.48,-0.28,23.36,0.32,-12.48,-0.17,2355.84,2.36
40,Entry short,2025-12-13 18:04,short,90216,0.08,7217.28,-20.48,-0.28,23.36,0.32,-12.48,-0.17,2355.84,2.36
41,Exit short,2025-12-14 02:54,close short,90272,0.08,7212.8,-24.96,-0.35,18.88,0.26,-16.96,-0.23,2338.88,2.34
41,Entry short,2025-12-13 18:10,short,90160,0.08,7212.8,-24.96,-0.35,18.88,0.26,-16.96,-0.23,2338.88,2.34
42,Exit short,2025-12-14 17:34,close short,89068,0.08,7221.76,80.32,1.11,97.28,1.35,-13.15,-0.18,2395.2,2.40
